Part,Color,Quantity,Is Spare
4595,0,1,False
2446,0,1,False
3023,0,1,False
3641,0,4,False
3005,4,2,False
4276b,4,1,False
2452,4,1,False
4865a,4,2,False
3022,4,1,False
3021,4,1,False
3020,4,1,False
3794a,4,2,False
3298pr0010,4,1,False
3070b,4,1,False
2431,4,1,False
2441,4,1,False
2447,41,1,False
970c00,15,1,False
3023,15,1,False
3623,15,2,False
3794a,15,2,False
3040b,15,1,False
3829c01,15,1,False
973c27h01pr0014,15,1,False
4624,15,4,False
3626apr0001,14,1,False
2412a,14,2,False
