Part,Color,Quantity,Is Spare
30377,0,4,False
48729b,0,3,False
87994,0,1,False
99780,0,6,False
99207,0,2,False
3004,0,1,False
3010,0,1,False
3003,0,3,False
3001,0,3,False
2456,0,1,False
87081,0,1,False
60476,0,2,False
87087,0,1,False
52107,0,8,False
30414,0,6,False
95344,0,1,False
3960pr0026,0,1,False
60849,0,1,False
34076,0,2,False
30364,0,12,False
3938,0,2,False
6134,0,6,False
44302a,0,1,False
20105,0,1,False
970c00,0,1,False
970c00pr0960,0,1,False
21778,0,1,False
4865b,0,2,False
60581,0,2,False
3024,0,2,False
60479,0,1,False
3623,0,11,False
3832,0,1,False
2445,0,6,False
91988,0,1,False
4282,0,4,False
3022,0,8,False
2420,0,2,False
3029,0,2,False
3035,0,2,False
4032a,0,5,False
2654,0,5,False
2540,0,1,False
92280,0,1,False
63868,0,2,False
60470b,0,6,False
2926,0,2,False
33909,0,1,False
61409,0,2,False
54200,0,2,False
85984,0,6,False
4286,0,3,False
15672,0,7,False
3039,0,2,False
3037,0,1,False
24201,0,17,False
11477,0,1,False
11253,0,5,False
4599b,0,4,False
3708,0,7,False
3705,0,4,False
3706,0,8,False
45590,0,1,False
32039,0,6,False
18651,0,21,False
32034,0,2,False
32126,0,1,False
41677,0,2,False
32523,0,4,False
32140,0,20,False
32018,0,14,False
3894,0,4,False
32531,0,12,False
32555,0,34,False
32532,0,8,False
3743,0,1,False
15461,0,43,False
32530,0,2,False
32054,0,1,False
2780,0,269,False
32124,0,1,False
32001,0,14,False
3069b,0,3,False
87079,0,1,False
90498,0,1,False
25269,0,7,False
15712,0,16,False
2412b,0,102,False
3680,0,1,False
58247,0,1,False
92738,0,2,False
11215,1,4,False
3005,1,10,False
87087,1,2,False
30000,1,8,False
2445,1,2,False
3022,1,17,False
2420,1,2,False
3020,1,2,False
43093,1,66,False
41677,1,8,False
3895,1,2,False
4274,1,29,False
6558,1,139,False
3709,1,2,False
18671,272,5,False
3068b,272,2,False
973c05h02pr3914,272,1,False
30377,72,5,False
6190,72,20,False
30359b,72,2,False
48729b,72,1,False
63965,72,18,False
11090,72,7,False
99780,72,25,False
44728,72,16,False
3005,72,32,False
6111,72,3,False
3622,72,1,False
3009,72,9,False
3002,72,3,False
3001,72,2,False
18653,72,6,False
13731,72,1,False
30165,72,2,False
47457,72,4,False
3062b,72,19,False
4733,72,2,False
60475b,72,1,False
4070,72,38,False
47905,72,4,False
30136,72,4,False
2877,72,5,False
30236,72,1,False
30000,72,19,False
6232,72,12,False
59900,72,20,False
30162,72,6,False
30229,72,5,False
30031,72,4,False
3937,72,10,False
30365,72,20,False
30553,72,17,False
30383,72,5,False
44567a,72,14,False
73983,72,2,False
44300,72,2,False
15392,72,1,False
4865b,72,8,False
15207,72,3,False
60581,72,3,False
3024,72,63,False
4477,72,20,False
3023,72,22,False
3623,72,10,False
3710,72,72,False
3666,72,21,False
3460,72,8,False
3832,72,3,False
2445,72,13,False
4282,72,8,False
3022,72,20,False
2420,72,13,False
3020,72,36,False
3795,72,8,False
3034,72,4,False
11212,72,14,False
3030,72,5,False
3031,72,2,False
3032,72,2,False
3035,72,2,False
3033,72,3,False
3456,72,2,False
3027,72,1,False
3958,72,15,False
6141,72,56,False
4032a,72,24,False
60474,72,2,False
30357,72,2,False
61252,72,6,False
4081b,72,10,False
60897,72,2,False
2540,72,14,False
48336,72,2,False
15573,72,75,False
88072,72,10,False
63868,72,1,False
32028,72,13,False
22890,72,2,False
3839b,72,12,False
11458,72,3,False
92593,72,10,False
4510,72,2,False
10247,72,5,False
87580,72,5,False
30157,72,1,False
3176,72,3,False
92099,72,1,False
6179,72,5,False
15210,72,1,False
61409,72,13,False
54200,72,56,False
85984,72,1,False
85984pr0006,72,4,False
4286,72,11,False
3298,72,5,False
15672,72,5,False
3040b,72,40,False
3039,72,6,False
3037,72,4,False
50950,72,6,False
93273,72,2,False
11153,72,16,False
3747b,72,2,False
3665,72,8,False
52501,72,1,False
59426,72,1,False
55013,72,1,False
59443,72,15,False
11214,72,1,False
32013,72,7,False
32525,72,4,False
32523,72,8,False
6632,72,6,False
32524,72,2,False
6541,72,6,False
3703,72,50,False
3700,72,4,False
32000,72,12,False
85943,72,4,False
3894,72,27,False
22961,72,2,False
10197,72,3,False
18654,72,6,False
3070b,72,2,False
3069b,72,25,False
63864,72,13,False
2431,72,22,False
6636,72,2,False
4162,72,4,False
3068b,72,15,False
87079,72,7,False
14769,72,1,False
15535,72,1,False
15712,72,139,False
2412b,72,69,False
2432,72,5,False
27263,72,2,False
2460,72,4,False
30228,72,1,False
30375,72,2,False
30132,72,2,False
95199,72,2,False
86208,72,1,False
43723,72,1,False
43722,72,4,False
2419,72,2,False
41770,72,4,False
41769,72,3,False
32059,72,2,False
54384,72,1,False
54383,72,1,False
50305,72,8,False
50304,72,8,False
18974,72,2,False
970c00pr0632,308,1,False
970c00pr1323,308,1,False
21777,308,1,False
64807,308,1,False
15307pr0001,308,1,False
973c07h02pr3175,308,1,False
973c07h07,308,1,False
3004,320,4,False
3023,320,14,False
3623,320,10,False
3710,320,1,False
3666,320,29,False
2420,320,4,False
3020,320,33,False
6179,320,1,False
4286,320,4,False
11477,320,2,False
11153,320,4,False
3665,320,4,False
32064a,320,4,False
3070b,320,3,False
3069b,320,7,False
63864,320,1,False
2431,320,6,False
3068b,320,4,False
15712,320,4,False
51739,320,4,False
2450,320,1,False
41770,320,1,False
41769,320,2,False
30503,320,1,False
15082,28,2,False
3004,28,10,False
970c00pr0932,28,1,False
4865b,28,10,False
3024,28,14,False
3023,28,243,False
3710,28,35,False
3021,28,26,False
3020,28,14,False
3795,28,5,False
3034,28,3,False
2639,28,10,False
3027,28,4,False
15573,28,32,False
32028,28,1,False
92593,28,1,False
87580,28,1,False
2476a,28,22,False
92099,28,2,False
6587,28,1,False
3070b,28,38,False
3069b,28,1,False
63864,28,2,False
6636,28,10,False
51739,28,3,False
43723,28,1,False
50305,28,3,False
50304,28,2,False
6141,179,21,False
62462,179,6,False
2412b,179,32,False
92738,179,1,False
3832,2,8,False
3957b,71,8,False
30377,71,10,False
99784,71,3,False
4735,71,13,False
92690,71,1,False
87994,71,58,False
30374,71,6,False
87618,71,12,False
63965,71,17,False
6020,71,1,False
23443,71,8,False
47996,71,2,False
99781,71,2,False
10201,71,12,False
44728,71,5,False
99207,71,13,False
11215,71,3,False
3005,71,4,False
6111,71,9,False
6112,71,5,False
2465,71,6,False
3622,71,9,False
3010,71,15,False
3009,71,2,False
3003,71,4,False
3001,71,4,False
2456,71,12,False
18653,71,26,False
